num;filename;symbol;period;date_from;date_to;deposit;leverage;server;ticks_mode;pass_num;profit;profit_per_30_days_percent;profit_per_365_days_percent;win_rate;custom_fitness;trades;trades_per_30_days;reldrawdownpercnt_e;profit_factor;recovery_factor;sharpe_ratio
1;csv/DS-ASPR-MT5-Bot.US500.M5.20200101.20250801.11.13F785B1BC0B1A36BA54605B25FF871D.opt;US500;5;2020.01.01 00:00:00;2025.08.01 00:00:00;100000;500;Tickmill-Live;1;115;821.1799999999995;0.0;0.1;57.3;0.76;415.0;6.1;0.93;1.1;0.87;0.35
2;csv/DS-ASPR-MT5-Bot.US500.M5.20200101.20250801.11.13F785B1BC0B1A36BA54605B25FF871D.opt;US500;5;2020.01.01 00:00:00;2025.08.01 00:00:00;100000;500;Tickmill-Live;1;4;1764.8000000000009;0.0;0.3;51.4;0.66;592.0;8.7;1.05;1.15;1.68;0.72
1;csv/DS-ASPR-MT5-Bot.USTEC.M5.20200101.20250801.11.13F785B1BC0B1A36BA54605B25FF871D.opt;USTEC;5;2020.01.01 00:00:00;2025.08.01 00:00:00;100000;500;Tickmill-Live;1;104;7447.090000000002;0.1;1.3;39.8;0.85;485.0;7.1;4.72;1.15;1.43;0.42
2;csv/DS-ASPR-MT5-Bot.USTEC.M5.20200101.20250801.11.13F785B1BC0B1A36BA54605B25FF871D.opt;USTEC;5;2020.01.01 00:00:00;2025.08.01 00:00:00;100000;500;Tickmill-Live;1;79;10123.500000000004;0.1;1.8;42.2;0.79;664.0;9.8;4.1;1.17;2.17;0.58
3;csv/DS-ASPR-MT5-Bot.USTEC.M5.20200101.20250801.11.13F785B1BC0B1A36BA54605B25FF871D.opt;USTEC;5;2020.01.01 00:00:00;2025.08.01 00:00:00;100000;500;Tickmill-Live;1;89;10123.500000000004;0.1;1.8;42.2;0.79;664.0;9.8;4.1;1.17;2.17;0.58
4;csv/DS-ASPR-MT5-Bot.USTEC.M5.20200101.20250801.11.13F785B1BC0B1A36BA54605B25FF871D.opt;USTEC;5;2020.01.01 00:00:00;2025.08.01 00:00:00;100000;500;Tickmill-Live;1;98;10123.500000000004;0.1;1.8;42.2;0.79;664.0;9.8;4.1;1.17;2.17;0.58
5;csv/DS-ASPR-MT5-Bot.USTEC.M5.20200101.20250801.11.13F785B1BC0B1A36BA54605B25FF871D.opt;USTEC;5;2020.01.01 00:00:00;2025.08.01 00:00:00;100000;500;Tickmill-Live;1;156;9379.300000000012;0.1;1.7;52.4;0.76;1351.0;19.9;4.17;1.1;1.98;0.54
